year,index,inflator,newindex,newflator,beaindex,
1969,36.7,6.67900772,58.76503067,6.000167037,21.326,5.282706555
1970,38.8,6.317515034,62.12760736,5.675415729,22.325,5.046315789
1971,40.5,6.052335391,64.84969325,5.437188402,23.274,4.840551689
1972,41.8,5.864104864,66.93128834,5.268089241,24.07,4.680473619
1973,44.4,5.520711336,71.09447853,4.959597529,25.368,4.440988647
1974,49.3,4.971999662,78.9404908,4.466655786,28.009,4.022242851
1975,53.8,4.556126084,86.14601227,4.093050748,30.348,3.712238039
1976,56.9,4.307901289,91.10981595,3.870055014,32.013,3.51916409
1977,60.6,4.044877613,97.03435583,3.633764526,34.091,3.304655188
1978,65.2,3.759502812,104.4,3.377394636,36.479,3.08832479
1979,72.6,3.376302801,114.3,3.084864392,39.714,2.836757818
1980,82.4,2.974752225,127.0,2.776377953,43.978,2.561712675
1981,90.9,2.696585075,139.2,2.533045977,47.908,2.351569675
1982,96.5,2.540099309,147.6,2.388888889,50.553,2.228532431
1983,99.6,2.461039993,153.8,2.292587776,52.729,2.136566216
1984,103.9,2.35918752,160.3,2.199625702,54.724,2.058676266
1985,107.6,2.278063042,165.7,2.127942064,56.661,1.98829883
1986,109.6,2.236492549,168.8,2.088862559,57.887,1.946188263
1987,113.6,2.157742811,174.4,2.021788991,59.65,1.888667225
1988,118.3,2.072016765,180.8,1.950221239,61.974,1.817842966
1989,124,1.976770833,188.6,1.869565217,64.641,1.742841231
1990,130.7,1.875436751,197.9,1.781707933,67.44,1.670507117
1991,136.2,1.799703255,205.1,1.719161385,69.652,1.617455349
1992,140.3,1.747110359,210.2,1.677450048,71.494,1.575782583
1993,144.5,1.696329296,215.5,1.636194896,73.279,1.537398163
1994,148.2,1.653978295,220.0,1.602727273,74.803,1.50607596
1995,152.4,1.608396216,225.3,1.565024412,76.356,1.475443973
1996,156.9,1.562266306,231.3,1.524427151,77.981,1.444698067
1997,160.5,1.527224818,236.3,1.492170969,79.327,1.420184805
1998,163,1.503801125,239.6,1.471619366,79.936,1.409364992
1999,166.6,1.471306022,244.6,1.441537204,81.11,1.388965602
2000,172.2,1.423458672,252.9,1.394226967,83.131,1.355198422
2001,177.1,1.38407444,260.0,1.356153846,84.736,1.329529362
2002,179.9,1.362532425,264.2,1.334595004,85.873,1.311925751
2003,184,1.332171649,270.3,1.304476508,87.572,1.286472845
2004,188.9,1.297615581,277.5,1.270630631,89.703,1.255911174
2005,195.3,1.255092593,286.9,1.228999651,92.261,1.221090168
2006,201.6,1.215870949,296.1,1.190813914,94.729,1.189276779
2007,207.342,1.182199378,304.6,1.157583716,97.102,1.160212972
2008,215.303,1.138486613,316.2,1.115117015,100.065,1.125858192
2009,214.537,1.142551557,315.2,1.118654822,100,1.12659
2010,218.056,1.124112995,320.4,1.100499376,101.653,1.108270292
2011,224.939,1.089715804,330.4,1.067191283,104.149,1.081709858
2012,229.594,1.067621904,337.3,1.045360213,106.121,1.061608918
2013,232.957,1.052209564,342.2,1.030391584,107.532,1.04767883
2014,236.736,1.035413217,347.8,1.013801035,109.157,1.03208223
2015,237.017,1.034185663,348.2,1.012636416,109.481,1.029027868
2016,240.007,1.0213011,352.6,1,110.789,1.016878932
2017,245.12,1,352.6,1,112.659,1
