,Date,URL
0,"Monday, 16 October 2:09 pm",https://daphnecaruanagalizia.com/2017/10/first-things-first-something-horrendous-posture/
1,"Sunday, 15 October 10:07 pm",https://daphnecaruanagalizia.com/2017/10/austrias-new-chancellor-31-will-form-coalition-neo-nazi/
2,"Sunday, 15 October 7:26 pm",https://daphnecaruanagalizia.com/2017/10/party-leaders-sunday-morning/
3,"Saturday, 14 October 12:52 am",https://daphnecaruanagalizia.com/2017/10/looks-like-delia-surrounding-like-minded-individuals/
4,"Saturday, 14 October 12:26 am",https://daphnecaruanagalizia.com/2017/10/chris-cardona-one-track-mind/
5,"Friday, 13 October 11:20 pm",https://daphnecaruanagalizia.com/2017/10/david-thake-subject-adrian-delia/
6,"Friday, 13 October 6:29 pm",https://daphnecaruanagalizia.com/2017/10/not-blinded-little-intelligence-much-personal-ambition-reality/
7,"Friday, 13 October 6:19 pm",https://daphnecaruanagalizia.com/2017/10/toni-bezzina-throws-hat-ring-two-minutes-deadline/
8,"Friday, 13 October 5:22 pm",https://daphnecaruanagalizia.com/2017/10/chris-said-just-made-public-statement-deputy-leadership-election/
9,"Friday, 13 October 4:46 pm",https://daphnecaruanagalizia.com/2017/10/chris-said-says-will-not-stand-election-nationalist-party-deputy-leader/
10,"Friday, 13 October 12:45 pm",https://daphnecaruanagalizia.com/2017/10/nationalist-party-deputy-leadership-contender-compares-politics-football-match/
11,"Thursday, 12 October 8:45 pm",https://daphnecaruanagalizia.com/2017/10/opposition-leaders-wife-says-convicted-drug-dealers-girlfriend-one-closest-trusted-friends-drug-dealers-girlfriend-says-opposition-leaders-wife-close-friends-like/
12,"Thursday, 12 October 7:21 pm",https://daphnecaruanagalizia.com/2017/10/no-not-real-tweet-good/
13,"Thursday, 12 October 6:53 pm",https://daphnecaruanagalizia.com/2017/10/listening-people-opposition-leaders-wife-spends-much-10-weeks-state-pension-outfit-swearing-ceremony/
